#;Foldername;Flight Field ID;Project;Route type (MS, 3D, Thermal, RGB);Drone Model;Drone Pilot;Reflectance Panel (New/Old);Flight Date;Flight Start;Flight End;Wind Speed;Flight Comments;Step 1 P4D Proj.;Done by;Workable Data;P4D Processing;Done by;PC Used;Processing Comments;Flight Height;Side Overlap;Front Overlap;Wind (m/s);Drone type;New folder name;Root Folder;Flight path;Pix4D path
23;DJI_202504081142_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M-1;;;8-Apr-2025;;;;;;;;;;;;30m;80;85;;M3M-1;20250408 RyeGrass M3M-1 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250408 RyeGrass M3M-1 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250408 RyeGrass M3M-1 30m MS 80 85
24;DJI_202504081142_003_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;8-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250408 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 80 85
25;DJI_202504090924_001_RyegrassVertical;RyeGrass;DLT-Farming;3D;M3M-1;;;9-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250409 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250409 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250409 RyeGrass M3M-1 20m 3D 80 85
26;DJI_202504151021_003_RyegrassVertical;RyeGrass;DLT-Farming;3D;M3M-1;;;15-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250415 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250415 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250415 RyeGrass M3M-1 20m 3D 80 85
27;DJI_202504151051_009_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M-1;;;15-Apr-2025;;;;;;;;;;;;30m;80;85;;M3M-1;20250415 RyeGrass M3M-1 30m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250415 RyeGrass M3M-1 30m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250415 RyeGrass M3M-1 30m MS 80 85
28;DJI_202504151021_002_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;15-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250415 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 80 85
29;DJI_202504251157_004_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M-1;;;25-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250425 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250425 RyeGrass M3M-1 20m 3D 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250425 RyeGrass M3M-1 20m 3D 80 85
30;DJI_202504251157_002_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;25-Apr-2025;;;;;;;;;;;;20m;80;85;;M3M-1;20250425 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250425 RyeGrass M3M-1 20m MS 80 85;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250425 RyeGrass M3M-1 20m MS 80 85
31;DJI_202504251309_013_25-DiversityOats-MS-30m-8085;DiversityOats;DiversityOats;MS;M3M-2;;;25-Apr-2025;;;;;;;;;;;;30m;85;80;;M3M-2;20250425 DiversityOats M3M-2 30m MS 85 80;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\20250425 DiversityOats M3M-2 30m MS 85 80;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\MS\20250425 DiversityOats M3M-2 30m MS 85 80
32;DJI_202504251247_009_25-DiversityOats-01-RGB-Horizontal-20m-8085;DiversityOats;DiversityOats;3D;M3M-2;;;25-Apr-2025;;;;;;;;;;;;20m;85;80;;M3M-2;20250425 DiversityOats M3M-2 20m 3D 85 80;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\20250425 DiversityOats M3M-2 20m 3D 85 80;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\3D\20250425 DiversityOats M3M-2 20m 3D 85 80
33;DJI_202504251246_007_25-G2BOatsBarley-01-RGB-Horizontal-20m-8085;G2BOatsBarley;Gene2Bread;3D;M3M-1;;;25-Apr-2025;;;;;;;;;;;;20m;85;80;;M3M-1;20250425 G2BOatsBarley M3M-1 20m 3D 85 80;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\20250425 G2BOatsBarley M3M-1 20m 3D 85 80;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\3D\20250425 G2BOatsBarley M3M-1 20m 3D 85 80
34;DJI_202504251345_013_25-G2BOatsBarley-MS-30m-8085;G2BOatsBarley;Gene2Bread;MS;M3M-1;;;25-Apr-2025;;;;;;;;;;;;30m;85;80;;M3M-1;20250425 G2BOatsBarley M3M-1 30m MS 85 80;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\20250425 G2BOatsBarley M3M-1 30m MS 85 80;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\MS\20250425 G2BOatsBarley M3M-1 30m MS 85 80
