#;Foldername;Flight Field ID;Project;Route type (MS, 3D, Thermal, RGB);Drone Model;Drone Pilot;Reflectance Panel (New/Old);Flight Date;Flight Start;Flight End;Wind Speed;Flight Comments;Step 1 P4D Proj.;Done by;Workable Data;P4D Processing;Done by;PC Used;Processing Comments;Flight Height;Side Overlap;Front Overlap;Wind (m/s);Drone type;New folder name;Root Folder;Flight path;Pix4D path
11;DJI_202408201241_009_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;20-Aug-2024;;;;;;;;Not needed;;;;20m;75;70;;M3M;20240820 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240820 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240820 RyeGrass M3M 20m 3D 75 70
12;DJI_202408201241_008_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;20-Aug-2024;;;;;;;;Not needed;;;;20m;85;80;;M3M;20240820 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240820 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240820 RyeGrass M3M 20m MS 85 80
13;DJI_202408261551_001_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;26-Aug-2024;;;;;;;;Not needed;;;;20m;75;70;;M3M;20240826 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240826 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240826 RyeGrass M3M 20m 3D 75 70
14;DJI_202408271035_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;27-Aug-2024;;;;;;;;Not needed;;;;20m;85;80;;M3M;20240827 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240827 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240827 RyeGrass M3M 20m MS 85 80
15;DJI_202409061312_003_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;6-Sep-2024;;;;;;;;Not needed;;;;20m;75;70;;M3M;20240906 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240906 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240906 RyeGrass M3M 20m 3D 75 70
16;DJI_202409061312_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;6-Sep-2024;;;;;;;;Not needed;;;;20m;85;80;;M3M;20240906 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240906 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240906 RyeGrass M3M 20m MS 85 80
17;DJI_202409121240_008_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;12-Sep-2024;;;;;;;;Not needed;;;;20m;75;70;;M3M;20240912 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20240912 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20240912 RyeGrass M3M 20m 3D 75 70
18;DJI_202409121218_005_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;12-Sep-2024;;;;;;;;Not needed;;;;20m;85;80;;M3M;20240912 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20240912 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20240912 RyeGrass M3M 20m MS 85 80
19;DJI_202503191242_004_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M;;;19-Mar-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M;20250319 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250319 RyeGrass M3M 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250319 RyeGrass M3M 20m 3D 75 70
20;DJI_202503191216_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M;;;19-Mar-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M;20250319 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 85 80
21;DJI_202503191242_003_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M;;;19-Mar-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M;20250319 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250319 RyeGrass M3M 20m MS 85 80
22;DJI_202504081217_007_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M-1;;;8-Apr-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250408 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250408 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250408 RyeGrass M3M-1 20m 3D 75 70
23;DJI_202504081142_002_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M-1;;;8-Apr-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250408 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 85 80
24;DJI_202504081142_003_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;8-Apr-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250408 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250408 RyeGrass M3M-1 20m MS 85 80
25;DJI_202504090924_001_RyegrassVertical;RyeGrass;DLT-Farming;3D;M3M-1;;;9-Apr-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250409 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250409 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250409 RyeGrass M3M-1 20m 3D 75 70
26;DJI_202504151021_003_RyegrassVertical;RyeGrass;DLT-Farming;3D;M3M-1;;;15-Apr-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250415 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250415 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250415 RyeGrass M3M-1 20m 3D 75 70
27;DJI_202504151051_009_RyegrassMS-30m;RyeGrass;DLT-Farming;MS;M3M-1;;;15-Apr-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250415 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 85 80
28;DJI_202504151021_002_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;15-Apr-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250415 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250415 RyeGrass M3M-1 20m MS 85 80
29;DJI_202504251157_004_RyegrassHorizontal;RyeGrass;DLT-Farming;3D;M3M-1;;;25-Apr-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250425 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250425 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250425 RyeGrass M3M-1 20m 3D 75 70
30;DJI_202504251157_002_RyegrassMS-20m;RyeGrass;DLT-Farming;MS;M3M-1;;;25-Apr-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250425 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250425 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250425 RyeGrass M3M-1 20m MS 85 80
31;DJI_202504251309_013_25-DiversityOats-MS-30m-8085;DiversityOats;DiversityOats;MS;M3M-2;;;25-Apr-2025;;;;;;;;Yes;Ivar;Thinkstation P8;;30m;85;80;;M3M-2;20250425 DiversityOats M3M-2 30m MS 85 80;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\;P:\PheNo\DiversityOats\1_flights\DiversityOats\MS\20250425 DiversityOats M3M-2 30m MS 85 80;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\MS\20250425 DiversityOats M3M-2 30m MS 85 80
32;DJI_202504251247_009_25-DiversityOats-01-RGB-Horizontal-20m-8085;DiversityOats;DiversityOats;3D;M3M-2;;;25-Apr-2025;;;;;;;;Yes;Ivar;Thinkstation P8;;20m;75;70;;M3M-2;20250425 DiversityOats M3M-2 20m 3D 75 70;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\20250425 DiversityOats M3M-2 20m 3D 75 70;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\3D\20250425 DiversityOats M3M-2 20m 3D 75 70
33;DJI_202504251246_007_25-G2BOatsBarley-01-RGB-Horizontal-20m-8085;G2BOatsBarley;Gene2Bread;3D;M3M-1;;;25-Apr-2025;;;;;;;;Yes;Unknown;Thinkstation P8;;20m;75;70;;M3M-1;20250425 G2BOatsBarley M3M-1 20m 3D 75 70;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\20250425 G2BOatsBarley M3M-1 20m 3D 75 70;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\3D\20250425 G2BOatsBarley M3M-1 20m 3D 75 70
34;DJI_202504251345_013_25-G2BOatsBarley-MS-30m-8085;G2BOatsBarley;Gene2Bread;MS;M3M-1;;;25-Apr-2025;;;;;;;;;;;;20m;85;80;;M3M-1;20250425 G2BOatsBarley M3M-1 20m MS 85 80;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\MS\20250425 G2BOatsBarley M3M-1 20m MS 85 80;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\MS\20250425 G2BOatsBarley M3M-1 20m MS 85 80
35;DJI_202504251159_002_25-PROBARVOLL-01-RGB-Horizontal-20m-8085;ProBarVoll;ProteinBar - Vollebekk;3D;M3M-2;;;25-Apr-2025;;;;;;;;Yes;Frederic;Thinkstation P8;;20m;75;70;;M3M-2;20250425 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 75 70
36;DJI_202504251344_017_25-PROBARVOLL-Oblique-20m-8085;ProBarVoll;ProteinBar - Vollebekk;3D;M3M-2;;;25-Apr-2025;;;;2nd flight - Oblique;;;;Yes;Frederic;Thinkstation P8;;20m;75;70;;M3M-2;20250425 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\20250425 ProBarVoll M3M-2 20m 3D 75 70
37;DJI_202504251221_006_25-PROBARVOLL-MS-20m-8085;ProBarVoll;ProteinBar - Vollebekk;MS;M3M-2;;;25-Apr-2025;;;;;;;;Yes;Frederic;Thinkstation P8;;20m;80;80;;M3M-2;20250425 ProBarVoll M3M-2 20m MS 80 80;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\20250425 ProBarVoll M3M-2 20m MS 80 80;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\MS\20250425 ProBarVoll M3M-2 20m MS 80 80
38;DJI_202504301144_001_Vollebekk;Vollebekk;Vollebekk;RGB;M4T;Fahad;Not Applicable;30-Apr-2025;;;;;;;;;;;;120m;75;70;;M4T;20250430 Vollebekk M4T 120m RGB 75 70;P:\PheNo\Vollebekk\1_flights\Vollebekk\RGB\;P:\PheNo\Vollebekk\1_flights\Vollebekk\RGB\20250430 Vollebekk M4T 120m RGB 75 70;P:\PheNo\Vollebekk\2_1_pix4d\Vollebekk\RGB\20250430 Vollebekk M4T 120m RGB 75 70
39;DJI_202504301144_001_Vollebekk;Vollebekk;Vollebekk;Thermal;M4T;Fahad;Not Applicable;30-Apr-2025;;;;;;;;;;;;;;;;M4T;20250430 Vollebekk M4T Thermal;#I/T;#I/T;#I/T
40;DJI_202505051253_001_25-DLTFarming-Vertical-20m-80-85;RyeGrass;DLT-Farming;3D;M3M-1;;;5-May-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250505 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250505 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250505 RyeGrass M3M-1 20m 3D 75 70
41;DJI_202505061153_006_25-DLTFarming-oblique-20m-80-85;RyeGrass;DLT-Farming;3D;M3M-1;;;6-May-2025;;;;;;;;Not needed;;;;20m;75;70;;M3M-1;20250506 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\3D\20250506 RyeGrass M3M-1 20m 3D 75 70;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\3D\20250506 RyeGrass M3M-1 20m 3D 75 70
42;DJI_202505061122_003_25-DLTFarming-MS-20m-80-85;RyeGrass;DLT-Farming;MS;M3M-1;;;6-May-2025;;;;;;;;Not needed;;;;20m;85;80;;M3M-1;20250506 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\;P:\PheNo\DLT-Farming\1_flights\RyeGrass\MS\20250506 RyeGrass M3M-1 20m MS 85 80;P:\PheNo\DLT-Farming\2_1_pix4d\RyeGrass\MS\20250506 RyeGrass M3M-1 20m MS 85 80
43;DJI_202505061125_004_25-SmartWheatBox-Horizontal-20m-80-85;SmartWheatBox;SmartWheat - DroughtBOX;3D;M3M-2;;;6-May-2025;;;;;;;;Yes;Ludvik;Thinkstation P8;;20m;70;75;;M3M-2;20250506 SmartWheatBox M3M-2 20m 3D 70 75;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\3D\;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\3D\20250506 SmartWheatBox M3M-2 20m 3D 70 75;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\3D\20250506 SmartWheatBox M3M-2 20m 3D 70 75
44;DJI_202505061153_007_25-SmartWheatGram-Horizontal-20m-80-85;SmartWheatGram;SmartWheat - Graminor;3D;M3M-1;;;6-May-2025;;;;;;;;Yes;Ludvik;Thinkstation P8;;22m;75;70;;M3M-1;20250506 SmartWheatGram M3M-1 22m 3D 75 70;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\20250506 SmartWheatGram M3M-1 22m 3D 75 70;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\3D\20250506 SmartWheatGram M3M-1 22m 3D 75 70
45;DJI_202505061230_010_25-DiversityOats-02-RGB-Vertical-20m-8085;DiversityOats;DiversityOats;3D;M3M-2;;;6-May-2025;;;;;;;;Yes;Ivar;Thinkstation P8;;20m;75;70;;M3M-2;20250506 DiversityOats M3M-2 20m 3D 75 70;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\;P:\PheNo\DiversityOats\1_flights\DiversityOats\3D\20250506 DiversityOats M3M-2 20m 3D 75 70;P:\PheNo\DiversityOats\2_1_pix4d\DiversityOats\3D\20250506 DiversityOats M3M-2 20m 3D 75 70
46;DJI_202505061151_008_25-PROBARVOLL-01-RGB-Horizontal-20m-8085;ProBarVoll;ProteinBar - Vollebekk;3D;M3M-2;;;6-May-2025;;;;;;;;Yes;Frederic;Thinkstation P8;;20m;75;70;;M3M-2;20250506 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\3D\20250506 ProBarVoll M3M-2 20m 3D 75 70;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\3D\20250506 ProBarVoll M3M-2 20m 3D 75 70
47;DJI_202505061125_001_25-PROBARVOLL-MS-20m-8085;ProBarVoll;ProteinBar - Vollebekk;MS;M3M-2;;;6-May-2025;;;;;;;;Yes;Frederic;Thinkstation P8;;20m;80;80;;M3M-2;20250506 ProBarVoll M3M-2 20m MS 80 80;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\;P:\PheNo\ProteinBar\1_flights\ProBarVoll\MS\20250506 ProBarVoll M3M-2 20m MS 80 80;P:\PheNo\ProteinBar\2_1_pix4d\ProBarVoll\MS\20250506 ProBarVoll M3M-2 20m MS 80 80
48;DJI_202505071246_001_25-G2BOatFrontiers-Vertical-20m-80-85;G2BOatFrontiers;Gene2Bread;3D;M3M-1;;;7-May-2025;;;;;;;;Yes;Unknown;Thinkstation P8;;20m;75;70;;M3M-1;20250507 G2BOatFrontiers M3M-1 20m 3D 75 70;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\;P:\PheNo\Gene2Bread\1_flights\G2BOatFrontiers\3D\20250507 G2BOatFrontiers M3M-1 20m 3D 75 70;P:\PheNo\Gene2Bread\2_1_pix4d\G2BOatFrontiers\3D\20250507 G2BOatFrontiers M3M-1 20m 3D 75 70
49;DJI_202505081135_001_25-SmartWheatGram-Vertical-20m-80-85;SmartWheatGram;SmartWheat - Graminor;3D;M3M-1;;;8-May-2025;;;;Incomplete;;;;;;;;22m;75;70;;M3M-1;20250508 SmartWheatGram M3M-1 22m 3D 75 70;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\;P:\PheNo\SmartWheat\1_flights\SmartWheatGram\3D\20250508 SmartWheatGram M3M-1 22m 3D 75 70;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatGram\3D\20250508 SmartWheatGram M3M-1 22m 3D 75 70
50;DJI_202505091239_003_25-Soraas-Horizontal-20m-80-8;ProBarSørås;ProteinBar - Søråsjordet;3D;M4T;;;9-May-2025;;;;;;;;;;;;20m;75;70;;M4T;20250509 ProBarSørås M4T 20m 3D 75 70;P:\PheNo\ProteinBar\1_flights\ProBarSørås\3D\;P:\PheNo\ProteinBar\1_flights\ProBarSørås\3D\20250509 ProBarSørås M4T 20m 3D 75 70;P:\PheNo\ProteinBar\2_1_pix4d\ProBarSørås\3D\20250509 ProBarSørås M4T 20m 3D 75 70
51;DJI_202505091216_001_25-SmartwheatBox-Thermal-20m-80-85;SmartWheatBox;SmartWheat - DroughtBOX;Thermal;M4T;;;9-May-2025;;;;;;;;;;;;20m;85;80;;M4T;20250509 SmartWheatBox M4T 20m Thermal 85 80;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\Thermal\;P:\PheNo\SmartWheat\1_flights\SmartWheatBox\Thermal\20250509 SmartWheatBox M4T 20m Thermal 85 80;P:\PheNo\SmartWheat\2_1_pix4d\SmartWheatBox\Thermal\20250509 SmartWheatBox M4T 20m Thermal 85 80
